gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_variance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
0.99,5,10000,28.999999999999996,0.00019827812630108382,0.003114366645625998,0.0034740987729409115,0.0026942443342743688,6.649773324577761e-18,0.0023877992579845763,1.7636355339097538e-17,0.026563961273270542
0.99,5,25000,23.2,0.000402743522725707,0.0019858346605121555,0.0029710694830429613,0.0027385689575634927,6.649773324577761e-18,0.0026603468619272146,1.7636355339097538e-17,0.02503141602957247
0.99,5,50000,27.599999999999998,6.107679012069822e-05,0.0014240726434685215,0.003462790725467974,0.0028166429081603094,6.649773324577761e-18,0.002063514763630456,1.7636355339097538e-17,0.025423233340146335
0.99,5,100000,27.8,0.00019194486014339346,0.0010324271808381602,0.0035647844145495914,0.0029608496770373084,6.649773324577761e-18,0.003052474001422881,1.7636355339097538e-17,0.029637925101171695
0.99,6,500,40.0,0.0014980218684095981,0.013680118964826373,0.004300311783021852,0.0025992452068305857,0.0009101498438660961,0.001834436630596185,0.0009102160826182691,0.004546855789940581
0.99,6,1000,20.0,0.0006135444222461362,0.009742237469538844,0.0021978283129480344,0.0026364219698024063,0.00013676087938277603,0.0017962271259700721,0.00013676087949166348,0.004416140582239883
0.99,6,2500,20.0,0.0007485358339145102,0.0062209588661707865,0.002146005412139747,0.00268752286212423,5.265593866785855e-07,0.0018860772390734935,5.265593866895721e-07,0.007947230903066416
0.99,6,5000,20.0,0.0007134707881211646,0.004407645247688223,0.002183232773136125,0.002698241198537302,1.1503980291519926e-10,0.0019641465585082223,1.1503981390178127e-10,0.013527128446052436
0.99,6,10000,23.0,0.00041220922920513076,0.0031172586354717637,0.0025733021615961496,0.002699250389006467,6.938893903907228e-18,0.0019014520045947932,1.7925475918427008e-17,0.019663677725193597
0.99,6,25000,25.2,0.00022968902047048115,0.0019910483956628753,0.0030156120793902092,0.0027529678568553543,6.649773324577761e-18,0.0018936073019730616,1.7636355339097538e-17,0.028058609202485884
0.99,6,50000,27.8,7.410989045307861e-05,0.001427197281853491,0.0033898119590405457,0.00282901677962499,6.649773324577761e-18,0.0020268692184216386,1.7636355339097538e-17,0.02870310450964952
0.99,6,100000,30.400000000000002,5.980274150350906e-05,0.0010331926279458302,0.0037238611163529453,0.00296524168456003,6.649773324577761e-18,0.007475468215407175,1.7636355339097538e-17,0.03709249935069637
0.99,7,500,20.0,0.0006278755200000022,0.013719975064200226,0.0020717729980992967,0.0026144127189205004,0.0007273710940571298,0.017600032933333332,0.0007275147033279761,0.014782558333333333
